Column1,shares,likes,Unnamed: 3,Unnamed: 4
1,86,800,,
2,399,2314,,
3,2100,1540,,
4,283,3265,,
5,1907,1310,,
6,304,794,,
7,2854,7396,,
8,368,940,,1.90397390029238
9,566,6048,,
10,185,978,,
11,727,689,,
12,539,7619,,
13,2099,9854,,
14,942,2905,,
15,552,2405,,
16,518,2057,,
17,3823,5939,,
18,839,3283,,
19,314,392,,
20,141,1446,,
21,574,3554,,
22,233,2475,,
23,152,1861,,
24,358,2576,,
25,191,2496,,
26,477,2778,,
27,212,1854,,
28,630,924,,
29,671,5528,,
30,2783,11933,,
31,174,2001,,
32,2219,26245,,
33,302,2447,,
34,1779,25342,,
35,1352,14533,,
36,436,2105,,
37,3087,8234,,
38,930,6270,,
39,476,9035,,
40,5781,8768,,
41,309,560,,
42,187,1857,,
43,10475,38273,,
44,910,888,,
45,3548,12150,,
46,1655,15902,,
47,1148,3188,,
48,2364,11519,,
49,1400,1330,,
50,995,1726,,
51,25614,86778,,
52,220,4601,,
53,6887,11354,,
54,120,1037,,
55,6219,5648,,
56,519,4020,,
57,152,1797,,
58,542,4610,,
59,80,643,,
60,13327,7156,,
61,1426,919,,
62,972,15066,,
63,689,2115,,
64,884,744,,
65,732,12393,,
66,666,5613,,
67,6400,2357,,
68,3595,3315,,
69,322,790,,
70,691,4963,,
71,2850,4931,,
72,2590,17589,,
73,610,5560,,
74,1612,5743,,
75,1144,2446,,
76,122,816,,
77,6012,33318,,
78,1346,9222,,
79,636,3805,,
80,1045,10525,,
81,9424,2300,,
82,1120,12341,,
83,1245,15476,,
84,3680,792,,
85,554,8555,,
86,1772,29884,,
87,556,2340,,
88,1548,7353,,
89,6316,75180,,
90,357,1464,,
91,3313,34364,,
92,1575,4842,,
93,216,3638,,
94,144,1217,,
95,553,8204,,
96,84,986,,
97,142,668,,
98,404,5037,,
99,707,10966,,
100,584,4637,,
101,707,9034,,
102,9232,6371,,
103,675,10192,,
104,68,585,,
105,84,802,,
106,9198,24915,,
107,74,3278,,
108,148,503,,
109,1209,3871,,
110,54640,12457,,
111,688,1509,,
112,164,890,,
113,72,330,,
114,638,2303,,
115,698,4830,,
116,520,740,,
117,44,404,,
118,2171,8834,,
119,442,622,,
120,439,5132,,
121,68,399,,
122,83,281,,
123,1588,4258,,
124,599,1595,,
125,259,3150,,
126,49,476,,
127,408,736,,
128,266,1031,,
129,270,560,,
130,188,2480,,
131,1389,7913,,
132,1178,7500,,
133,120,4163,,
134,4002,27508,,
135,5322,8595,,
136,2088,21546,,
137,1563,9530,,
138,301,3324,,
139,15275,6925,,
140,1485,7047,,
141,481,5358,,
142,10997,56130,,
143,86,990,,
144,1614,2584,,
145,8324,45447,,
146,413,6376,,
147,233,2069,,
148,4340,3989,,
149,327,3775,,
150,773,5829,,
151,986,6938,,
152,95,407,,
153,252,2726,,
154,4138,17049,,
155,175,1589,,
156,422,1223,,
157,652,1848,,
158,71,275,,
159,152,666,,
160,377,3399,,
161,631,566,,
162,266,484,,
163,604,2046,,
164,319,419,,
165,768,810,,
166,352,1934,,
167,378,5157,,
168,3952,73984,,
169,763,12483,,
170,8058,10080,,
171,112,1897,,
172,3176,12617,,
173,979,1233,,
174,1019,3253,,
175,1006,9222,,
176,409,4603,,
177,698,1086,,
178,73,691,,
179,156,662,,
180,486,1419,,
181,804,9275,,
182,1564,1248,,
183,1198,42082,,
184,2022,12293,,
185,1616,10836,,
186,12337,110869,,
187,1,820,,
188,714,509,,
189,370,1832,,
190,258,2260,,
191,359,586,,
192,0,173,,
193,217,1203,,
194,974,4733,,
195,7880,3872,,
196,1208,8526,,
197,868,1567,,
198,846,821,,
199,400,5223,,
200,758,5775,,
201,1222,8307,,
202,2799,11862,,
203,118,1980,,
204,287,1417,,
205,143,1489,,
206,9214,17107,,
207,1020,5650,,
208,522,1270,,
209,752,3769,,
210,477,1436,,
211,273,1104,,
212,257,1842,,
213,656,963,,
214,2598,2053,,
215,84,919,,
216,224,1418,,
217,115,1507,,
218,99,406,,
219,390,1569,,
220,390,1626,,
221,91,363,,
222,125,796,,
223,782,2274,,
224,634,5898,,
225,181,4554,,
226,807,11675,,
227,325,887,,
228,8711,3398,,
229,1028,1090,,
230,5708,4481,,
231,1006,6703,,
232,246,1814,,
233,2451,11365,,
234,114,248,,
235,366,2926,,
236,181,3126,,
237,4080,10830,,
238,242,1109,,
239,178,2817,,
240,379,3306,,
241,366,6250,,
242,58,424,,
243,301,1918,,
